epoch,genesis,completed,cancelled,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,treasuryAmount,bullBonusAmount,bearBonusAmount,lockPrice,closePrice,startTimestamp,lockTimestamp,closeTimestamp
28466,False,True,False,7090000000000000000,7039200000000000000,7090000000000000000,14122600000000000000,6600000000000000,0,0,37311400000,37314800000,1646982851,1646983151,1646983451
28467,False,True,False,6310000000000000000,6352900000000000000,6310000000000000000,12662300000000000000,600000000000000,0,0,37314800000,37425300000,1646983163,1646983463,1646983763
28468,False,True,False,5740000000000000000,5740000000000000000,5740000000000000000,11480000000000000000,0,0,0,37425300000,37381500000,1646983472,1646983772,1646984072
28469,False,True,False,5990000000000000000,5920000000000000000,5920000000000000000,11907900000000000000,2100000000000000,0,0,37381500000,37364600000,1646983784,1646984084,1646984384
28470,False,True,False,4980000000000000000,4990000000000000000,4990000000000000000,9969700000000000000,300000000000000,0,0,37364600000,37333700000,1646984096,1646984396,1646984696
28471,False,True,False,6415000000000000000,6282200000000000000,6415000000000000000,12691350000000000000,5850000000000000,0,0,37333700000,37378500000,1646984408,1646984708,1646985008
28472,False,True,False,5460000000000000000,5460000000000000000,5460000000000000000,10920000000000000000,0,0,0,37378500000,37366900000,1646984720,1646985020,1646985320
28473,False,True,False,5195000000000000000,5120700000000000000,5120700000000000000,10311950000000000000,3750000000000000,0,0,37366900000,37293800000,1646985031,1646985331,1646985631
28474,False,True,False,6210000000000000000,6210000000000000000,6210000000000000000,12420000000000000000,0,0,0,37293800000,37289000000,1646985340,1646985640,1646985940
28475,False,True,False,7020000000000000000,6918300000000000000,7020000000000000000,13932000000000000000,6300000000000000,0,0,37289000000,37361800000,1646985652,1646985952,1646986252
28476,False,True,False,5290000000000000000,4712400000000000000,5290000000000000000,9986500000000000000,15900000000000000,0,0,37361800000,37383900000,1646985964,1646986264,1646986564
28477,False,True,False,4650000000000000000,4555000000000000000,4555000000000000000,9197500000000000000,7500000000000000,0,0,37383900000,37364100000,1646986330,1646986630,1646986930
